T日,股票代码,股票名称,T-2日期,T-2涨幅%,T-1日期,T-1开盘涨幅%,T-1收盘涨幅%,归档竞价涨幅%,实际竞价涨幅%,竞价价,T日收盘价,竞价到收盘收益%,胜负,T-1一字,现有红策命中
2026-01-06,002151.XSHE,北斗星通,2025-12-31,10.0000,2026-01-05,9.6192,9.9934,0.0200,0.0200,49.9800,54.9700,9.9840,胜,否,
2026-01-06,600498.XSHG,烽火通信,2025-12-31,10.0137,2026-01-05,5.3928,10.0062,1.9600,1.9552,35.9800,35.2800,-1.9455,负,否,
2026-01-06,601698.XSHG,中国卫通,2025-12-31,10.0062,2026-01-05,2.6029,9.9916,1.7300,1.7303,39.9800,43.2300,8.1291,胜,否,
2026-01-08,002718.XSHE,友邦吊顶,2026-01-06,9.9924,2026-01-07,10.0046,10.0046,1.8200,1.8189,48.7000,49.1800,0.9856,胜,否,
2026-01-08,600435.XSHG,北方导航,2026-01-06,10.0122,2026-01-07,8.2686,9.9889,0.9100,0.9082,20.0000,21.0700,5.3500,胜,否,
2026-01-13,002046.XSHE,国机精工,2026-01-09,10.0071,2026-01-12,5.6047,10.0022,0.4500,0.4507,51.2600,51.7700,0.9949,胜,否,
2026-01-15,002400.XSHE,省广集团,2026-01-13,9.9912,2026-01-14,-0.3984,10.0398,0.2900,0.2896,13.8500,12.8000,-7.5812,负,否,
2026-01-19,002796.XSHE,世嘉科技,2026-01-15,9.9972,2026-01-16,1.2658,10.0000,1.9600,1.9563,44.3000,44.9500,1.4673,胜,否,
2026-01-20,601096.XSHG,宏盛华源,2026-01-16,10.0228,2026-01-19,0.0000,9.9379,1.6900,1.6949,5.4000,5.4700,1.2963,胜,否,
2026-01-22,002165.XSHE,红 宝 丽,2026-01-20,9.9622,2026-01-21,9.9771,9.9771,0.1000,0.1043,9.6000,9.9900,4.0625,胜,否,
2026-01-23,600759.XSHG,ST洲际,2026-01-21,9.9715,2026-01-22,0.0000,10.1036,0.4700,0.4706,4.2700,4.4000,3.0445,胜,否,
2026-01-23,600868.XSHG,梅雁吉祥,2026-01-21,9.9757,2026-01-22,3.9823,9.9558,1.8100,1.8109,5.0600,4.9400,-2.3715,负,否,
2026-01-23,603256.XSHG,宏和科技,2026-01-21,10.0000,2026-01-22,4.6614,9.9954,1.5800,1.5813,48.1800,47.2000,-2.0340,负,否,
2026-01-27,000593.XSHE,德龙汇能,2026-01-23,9.9727,2026-01-26,0.9938,10.0000,1.6400,1.6375,18.0000,17.0500,-5.2778,负,否,
2026-01-27,000603.XSHE,盛达资源,2026-01-23,9.9957,2026-01-26,9.6893,10.0000,0.3700,0.3707,56.8600,61.1600,7.5624,胜,否,
2026-01-27,001337.XSHE,四川黄金,2026-01-23,10.0088,2026-01-26,6.9082,9.9940,0.0200,0.0181,55.2600,60.7800,9.9891,胜,否,
2026-01-28,601212.XSHG,白银有色,2026-01-26,10.0289,2026-01-27,0.0000,9.9912,0.1600,0.1594,12.5700,13.8100,9.8648,胜,否,
2026-01-28,603132.XSHG,XD金徽股,2026-01-26,10.0240,2026-01-27,1.9094,9.9836,1.6900,1.6865,20.5000,22.1800,8.1951,胜,否,
2026-01-30,603619.XSHG,中曼石油,2026-01-28,10.0000,2026-01-29,2.4203,10.0059,1.9600,1.9587,38.0000,34.6900,-8.7105,负,否,
